<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
TATN;D;241112;000000;590.8;599.5;584.9;592.5;3447392
TATN;D;241113;000000;592.6;599.4;581.4;583.2;3083707
TATN;D;241114;000000;581.7;588.9;561.4;569.9;6108040
TATN;D;241115;000000;568.9;578;566.4;576.1;1816754
TATN;D;241118;000000;571.1;571.1;556;562.4;2768761
TATN;D;241119;000000;562.6;565;540;545.2;3269634
TATN;D;241120;000000;545.7;557;531.6;536.9;2977586
TATN;D;241121;000000;537.3;544.7;525.2;543.5;2525963
TATN;D;241122;000000;544;546.1;534;541.9;1792750
TATN;D;241125;000000;542.2;543.2;512.2;515.3;4560258
TATN;D;241126;000000;515.3;519;498.1;506;3796143
TATN;D;241127;000000;506.2;519.4;499;519;4852056
TATN;D;241128;000000;522.1;540.8;508.5;534.3;4013708
TATN;D;241129;000000;534.4;549;531.1;544.9;3327258
TATN;D;241202;000000;545.1;557;545.1;548.5;2566066
TATN;D;241203;000000;549.7;552;534.7;538.5;2198086
TATN;D;241204;000000;538.2;549.7;520;521.6;2692624
TATN;D;241205;000000;521.8;554.8;520.2;547.5;4755405
TATN;D;241206;000000;548.2;565;545;558.9;3781054
TATN;D;241209;000000;560.5;575.5;560.4;566.2;3631770
TATN;D;241210;000000;564.8;568.8;556;564.9;4745050
TATN;D;241211;000000;564.4;574.9;561.7;574.1;3165521
TATN;D;241212;000000;574;581.6;556.5;557.8;3474331
TATN;D;241213;000000;557.7;573.7;553.3;571.6;2585472
TATN;D;241216;000000;569.4;573.4;545.8;550;3921240
TATN;D;241217;000000;549;564;548.4;556.2;3032306
TATN;D;241218;000000;556.2;573.1;555.8;569.3;2584055
TATN;D;241219;000000;570.5;583;557.5;563.9;9352511
TATN;D;241220;000000;564;603.8;562.7;599.9;7608285
TATN;D;241223;000000;605.2;638.7;605.2;636;4365450
TATN;D;241224;000000;637.1;638.5;621;625.3;4036795
TATN;D;241225;000000;624.8;634.6;617;629.2;2705759
TATN;D;241226;000000;630;635;626.8;630.9;2339086
TATN;D;241227;000000;631.6;637.4;628.6;635.8;1874087
TATN;D;241228;000000;636.9;654.8;636.9;652.4;2069066
TATN;D;241230;000000;653.9;695.7;653.9;688.9;3834388
TATN;D;250103;000000;693.2;693.2;663;668.7;1719096
TATN;D;250106;000000;668.7;670.3;655.7;666.2;1655382
TATN;D;250108;000000;648.8;660.8;647.4;654.7;1347943
TATN;D;250109;000000;653.7;659.3;631.4;633.9;1864250
TATN;D;250110;000000;633.9;664.8;633.6;653.5;5138200
TATN;D;250113;000000;656.8;674;655.2;667.9;4296010
TATN;D;250114;000000;666.1;670.8;660;667.9;1964341
TATN;D;250115;000000;668.1;671.6;649.5;670.6;2320317
TATN;D;250116;000000;671;683.4;671;677.1;2495431
TATN;D;250117;000000;678.7;682.7;669.3;673.6;2406123
TATN;D;250120;000000;676.1;684.8;671.3;676;4009891
TATN;D;250121;000000;677.1;682;674.4;681;1649110
TATN;D;250122;000000;681;691.1;674.5;681.5;2926512
TATN;D;250123;000000;680.9;688.8;679;686.4;1878808
TATN;D;250124;000000;686.4;687.4;677;682.6;1401292
TATN;D;250127;000000;682.6;682.9;661.1;667.5;2051265
TATN;D;250128;000000;667.8;680.5;655.9;677.8;1903548
TATN;D;250129;000000;677.8;683.7;673.4;679;1289409
TATN;D;250130;000000;679;691;677.7;690.7;1670143
TATN;D;250131;000000;689.9;694.3;680;683.9;1933320
TATN;D;250203;000000;683.9;689.9;677.4;685.5;1874884
TATN;D;250204;000000;685.5;693;683.2;686.7;2036493
TATN;D;250205;000000;685;692;674.5;690.6;2441849
TATN;D;250206;000000;691;699.3;682.7;695.8;2643813
TATN;D;250207;000000;697;704.6;688.6;697;2462984
TATN;D;250210;000000;698.4;707;696.8;700.3;1842607
TATN;D;250211;000000;700.4;707;700;702.8;1577197
TATN;D;250212;000000;702.6;739;693.7;737;4487676
TATN;D;250213;000000;735.6;752.8;708;711.6;5044168
TATN;D;250214;000000;698.7;738.7;675;716.9;4686293
TATN;D;250217;000000;720.6;749.1;717.9;748.9;2288989
TATN;D;250218;000000;749;750;731.9;737.5;2662462
TATN;D;250219;000000;737.5;749.9;728.1;744.5;1525897
TATN;D;250220;000000;744.5;750.3;736.8;745.3;1609535
TATN;D;250221;000000;745.8;759.4;742;754.4;2791062
TATN;D;250224;000000;749.9;757.6;742.1;752.8;2430405
TATN;D;250225;000000;752.8;769.8;749.1;764.3;3693754
TATN;D;250226;000000;764.3;769.5;729;737.3;3651232
TATN;D;250227;000000;737.1;741.8;710;713;2560432
TATN;D;250228;000000;713;740.7;704.2;732.4;2920002
TATN;D;250301;000000;732.7;739.2;732.7;736.8;39253
TATN;D;250302;000000;738;739;734.9;735.5;35602
TATN;D;250303;000000;735.3;735.5;703.9;711.3;3389012
TATN;D;250304;000000;711.5;725;705.8;714.7;3582653
TATN;D;250305;000000;715;722.5;703.5;705;2649817
TATN;D;250306;000000;705.2;709.8;692.2;700.5;2652728
TATN;D;250307;000000;700.1;710;680.4;693;3331876
TATN;D;250310;000000;693;698.6;680.6;683.6;1578761
TATN;D;250311;000000;684.3;697.3;679.2;694.7;1661924
TATN;D;250312;000000;694.6;699.5;683.2;694.1;1355833
TATN;D;250313;000000;697;723.2;686;710.3;4233633
TATN;D;250314;000000;708.5;719.3;701.7;715.8;2976497
